Address	"Length (dec)"	"Length (hex)"	Description	Value
002AFDE0	6368	18E0	ep_kl.mot	7800000060030038A87988B978B06F00
002B16C0	224596	00036D54	ep_tn.mot	6C000000AE61713C47953DBB4CA01E00
002E8420	42160	A4B0	ep_lu.mot	580000002CAD4EB937F65ABB5C00F2FF
002F28E0	103884	000195CC	ep_kt.mot	18010000AEEDA23827614B3958400100
0030BEC0	30096	7590	ep_km.mot	14010000000000800000008000000000
00313460	41060	A064	ep_ks.mot	300000004D35273BD46F203B58C03B00
0031D4E0	51348	C894	ep_fa.mot	58000000FDFBA8392E1ADB383480FBFF
00329D80	69876	000110F4	ep_hi.mot	1C000000D82E62BC2617CC3A2460E4FF
0033AE80	148544	00024440	ep_gy.mot	9400000044DA3CBA489B3C3B2CC0D7FF
0035F2C0	148748	0002450C	ep_ba.mot	580000009614C8BA825670BB3CD0D8FF
003837E0	36880	9010	ep_le.mot	3C010000ABFC0E3BFC46A43A28405400
0038C800	30268	763C	ep_ay.mot	3000000073AC8A3D9713813D20709D01
00393E40	11024	2B10	ep_tg.mot	5C000000FF568DB861F7E3BC68E088FF
00396960	400	0190	epm_ks.adt	B0230000B0230000B0230000B0230000
00396B00	9348	2484	epm_ks.mot	04000000D0F0813CD0F0813C00F00900
00398FA0	23894	5D56	stage18_iwa.bin	40084008610820008108600881086008
0039ED00	47808	BAC0	stage09_plug.bin	00000000000000002100410041004100
003AA7C0	49152	C000	end_etc_sprite.bin	00000000000000000000000000000000
003B67C0	38912	9800	game_etc_sprite.bin	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
003BFFC0	400	0190	epc_gy.adt	D42D0000D42D0000D42D0000D42D0000
003C0160	9800	2648	epc_gy.mot	88000000259C03B9676791B9D4D0E1FF
003C27C0	98304	00018000	patch_select_sprite.bin	00000000000000000000000000000000
003DA7C0	73728	00012000	patch_game_sprite.bin	00000000000000000000000000000000
003EC7C0	23040	5A00	ranking_sprite.bin	BF0FFF830F0F0000FFFEFFFF5000FB20
003F21C0	16384	4000	patch_test_sprite.bin	FF0FFF0FFF0FFF0FFF0FFF0FFF0FFF0F
003F61C0	2048	0800	patch_winner_sprite.bin	00000000000000000000000000000000
003F69C0	8192	2000	sel_etc_sprite.bin	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
003F89C0	15870	3DFE	logo_sprite.bin	00002D03010001002100000003000100
003FC7C0	14400	3840	padding	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
00400000	8388608	00800000	blank	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
00800000	1359600	0014BEF0	comon.mot	441900003C230000D02D000004380000
0094BF00	1353164	0014A5CC	zack.mot	60510000C05E0000646D000060510000
00A964E0	1807440	001B9450	tina.mot	DC2A000000380000D4460000DC2A0000
00C4F940	1270508	001362EC	janlee.mot	641B00008028000054370000641B0000
00D85C40	1576652	00180ECC	ryu.mot	C81E0000D8360000AC450000C81E0000
00F06B20	1723392	001A4C00	kasumi.mot	C02300002834000078420000C0230000
010AB720	1294692	0013C164	genfu.mot	8C3300007C570000086600008C330000
011E78A0	1803140	001B8384	bayman.mot	D42D00002046000094540000D42D0000
0139FC40	1780956	001B2CDC	leifan.mot	60910000B8A9000050B8000060910000
01552920	1413268	00159094	ayane.mot	E02300004834000098420000E0230000
016AB9C0	1526572	00174B2C	hika.mot	E41D0000083B0000184A0000E41D0000
01820500	1167344	0011CFF0	karate.mot	441D0000102C0000603A0000441D0000
0193D500	1071592	001059E8	tengu.mot	643C0000D868000080760000643C0000
01A42F00	1869980	001C889C	bass.mot	00280000C43B0000684A000000280000
01C0B7A0	213312	00034140	m_ayane.mot	E0230000E0230000E0230000E0230000
01C3F8E0	142692	00022D64	m_bass.mot	00280000002800000028000000280000
01C62660	165836	000287CC	m_bayman.mot	D42D0000D42D0000D42D0000D42D0000
01C8AE40	100496	00018890	m_genfu.mot	8C3300008C3300008C3300008C330000
01CA36E0	317024	0004D660	m_hika.mot	E41D0000E41D0000E41D0000E41D0000
01CF0D40	82960	00014410	m_janlee.mot	641B0000641B0000641B0000641B0000
01D05160	240876	0003ACEC	m_karate.mot	441D0000441D0000441D0000441D0000
01D3FE60	479780	00075224	m_kasumi.mot	B0230000B0230000B0230000B0230000
01DB50A0	187360	0002DBE0	m_leifan.mot	60910000609100006091000060910000
01DE2C80	64828	FD3C	m_mama.mot	A4230000A4230000A4230000A4230000
01DF29C0	72900	00011CC4	m_loran.mot	E41D0000E41D0000E41D0000E41D0000
01E046A0	62176	F2E0	m_wakabs.mot	00280000002800000028000000280000
01E13980	184532	0002D0D4	m_ryu.mot	C81E0000C81E0000C81E0000C81E0000
01E40A60	182440	0002C8A8	m_tengu.mot	343C0000343C0000343C0000343C0000
01E6D320	116236	0001C60C	m_tina.mot	DC2A0000DC2A0000DC2A0000DC2A0000
01E89940	143440	00023050	m_zack.mot	60510000605100006051000060510000
01EAC9A0	29524	7354	c_zack.mot	00480000004800000048000000480000
01EB3D00	18692	4904	c_tina.mot	7C2100007C2100007C2100007C210000
01EB8620	24152	5E58	c_janlee.mot	04120000041200000412000004120000
01EBE480	12244	2FD4	c_ryu.mot	D8130000D8130000D8130000D8130000
01EC1460	18956	4A0C	c_kasumi.mot	501A0000501A0000501A0000501A0000
01EC5E80	21236	52F4	c_genfu.mot	2C2A00002C2A00002C2A00002C2A0000
01ECB180	22840	5938	c_bayman.mot	74240000742400007424000074240000
01ED0AC0	19232	4B20	c_bass.mot	A01E0000A01E0000A01E0000A01E0000
01ED55E0	52020	CB34	c_leifan.mot	00880000008800000088000000880000
01EE2120	17000	4268	c_ayane.mot	801A0000801A0000801A0000801A0000
01EE63A0	30124	75AC	c_hika.mot	84140000841400008414000084140000
01EED960	18664	48E8	c_karate.mot	E4130000E4130000E4130000E4130000
01EF2260	43464	A9C8	c_ind.mot	94790000947900009479000094790000
01EFCC40	24404	5F54	c_tengu.mot	D4320000D4320000D4320000D4320000
01F02BA0	6828	1AAC	c_mama.mot	441A0000441A0000441A0000441A0000
01F04660	6828	1AAC	c_loran.mot	441A0000441A0000441A0000441A0000
01F06120	7944	1F08	c_wakabs.mot	A01E0000A01E0000A01E0000A01E0000
01F08040	986624	000F0E00	zac00.bin	A210A210A210A210A210A210A210A210
01FF8E40	809472	000C5A00	zac01.bin	60106010601060106018601860186018
020BE840	470016	00072C00	zac02.bin	EA62895A88524752A95A885A68524752
02131440	807936	000C5400	tin00.bin	00000000000000000000000020000000
021F6840	1191936	00123000	tin01.bin	62486248624862484148003800400038
02319840	1078784	00107600	tin02.bin	CDECCDECCDECCDECEDECEEECEDECEEEC
02420E40	1097920	0010C0C0	jan00.bin	E318E318E318E318E318E318E318E318
0252CF00	1129984	00113E00	jan01.bin	00000000000000002000200020002000
02640D00	915456	000DF800	ryu00.bin	01880060007000600068006800680068
02720500	859136	000D1C00	ryu01.bin	01880060007000600068006800680068
027F2100	1119232	00111400	ryu02.bin	2421A210E318A210A210C318A210C318
02903500	1104896	0010DC00	kas00.bin	7CFF7CFF7CFF7CFF7CFF7CFF7CFF7CFF
02A11100	945152	000E6C00	kas01.bin	7CFF7CFF7CFF7CFF7CFF7CFF7CFF7CFF
02AF7D00	1145344	00117A00	kas02.bin	21052105200420042105210520042004
02C0F700	1089536	0010A000	kas03.bin	00000000000000002125212521062106
02D19700	833536	000CB800	kas04.bin	00000000000000002005200520062016
02DE4F00	943104	000E6400	gen00.bin	4208020001002200220042000200A210
02ECB300	680448	000A6200	gen01.bin	61704170626862686170626861706168
02F71500	992256	000F2400	bay00.bin	C8D3A8CBC8D3A7CB87C387C367C367C3
03063900	1209344	00127400	bay01.bin	667AA218E559A218A218A218C9626439
0318AD00	753152	000B7E00	bas00.bin	61086108610861086108610861086108
03242B00	1172992	0011E600	bas01.bin	E230E551E230475A275A02316341E230
03361100	993792	000F2A00	lei00.bin	05680458046003500350035003500348
03453B00	1078784	00107600	lei01.bin	00F800F800F800F800F800F800F800F8
0355B100	898304	000DB500	lei02.bin	45292421452924212429242124292421
03636600	1179136	0011FE00	aya00.bin	07E107E107E107E107E107E107E107E1
03756400	1136128	00115600	aya01.bin	4B184B184B184B184B184B184B184B18
0386BA00	1180160	00120200	aya02.bin	E700E700E700E700E700E700E700E700
0398BC00	1072128	00105C00	hik00.bin	00480048004800480048004800480048
03A91800	1043968	000FEE00	hik01.bin	7A8D5A859A8D5A859A8D9A8D9A8D5A85
03B90600	963712	000EB480	hik02.bin	B2FDB2FDB2FDB2FDB2FDB2FDB2FDB2FD
03C7BA80	1204736	00126200	kte00.bin	407920692071006900690059E060E058
03DA1C80	1214464	00128800	kte01.bin	BAD699D6BAD699D699D699CE99D699CE
03ECA480	1233024	0012D080	tng00.bin	85498541854185418541A54985418541
03FF7500	1134720	00115080	mam00.bin	D3F5D3F5D3F5D3F5D3F5D3F5D3F5D3F5
0410C580	637952	0009BC00	lor00.bin	38CE38CE18CE18CE38CE38CE18CE18CE
041A8180	1133696	00114C80	wba00.bin	A2984190A29841904180A2804180A280
042BCE00	637952	0009BC00	lor00.bin	38CE38CE18CE18CE38CE38CE18CE18CE
04358A00	405920	000631A0	zac00.apv	0900000028000000FFFFFFFF2C0B0000
043BBBA0	421748	00066F74	zac01.apv	0900000028000000FFFFFFFFA0030000
04422B20	342076	0005383C	zac02.apv	0900000028000000FFFFFFFF0C050000
04476360	421864	00066FE8	tin00.apv	0900000028000000FFFFFFFF201E0000
044DD360	429784	00068ED8	tin01.apv	0900000028000000FFFFFFFF201E0000
04546240	423888	000677D0	tin02.apv	0900000028000000FFFFFFFF201E0000
045ADA20	298936	00048FB8	jan00.apv	0900000028000000FFFFFFFF800B0000
045F69E0	389952	0005F340	jan01.apv	0900000028000000FFFFFFFFF8100000
04655D20	420084	000668F4	ryu00.apv	0900000028000000FFFFFFFFF00E0000
046BC620	420084	000668F4	ryu01.apv	0900000028000000FFFFFFFFF00E0000
04722F20	381924	0005D3E4	ryu02.apv	0900000028000000FFFFFFFFF00E0000
04780320	491008	00077E00	kas00.apv	0900000028000000FFFFFFFF405A0000
047F8120	480336	00075450	kas01.apv	0900000028000000FFFFFFFF405A0000
0486D580	512368	0007D170	kas02.apv	0900000028000000FFFFFFFFA05C0000
048EA700	496632	000793F8	kas03.apv	0900000028000000FFFFFFFF405A0000
04963B00	119760	0001D3D0	kas04.apv	0900000028000000FFFFFFFF405A0000
04980EE0	292492	0004768C	gen00.apv	0900000028000000FFFFFFFF101C0000
049C8580	292492	0004768C	gen01.apv	0900000028000000FFFFFFFF101C0000
04A0FC20	372196	0005ADE4	bay00.apv	0900000028000000FFFFFFFF9C040000
04A6AA20	372196	0005ADE4	bay01.apv	0900000028000000FFFFFFFF9C040000
04AC5820	478983	00074F07	bas00.apv	0900000028000000FFFFFFFFE4000000
04B3A740	458644	0006FF94	bas01.apv	0900000028000000FFFFFFFFB4050000
04BAA6E0	382472	0005D608	lei00.apv	0900000028000000FFFFFFFFE8610000
04C07D00	377472	0005C280	lei01.apv	0900000028000000FFFFFFFFE8610000
04C63F80	375152	0005B970	lei02.apv	0900000028000000FFFFFFFFE8610000
04CBF900	432960	00069B40	aya00.apv	0900000028000000FFFFFFFFAC720000
04D29440	455000	0006F158	aya01.apv	0900000028000000FFFFFFFFAC720000
04D985A0	432120	000697F8	aya02.apv	0900000028000000FFFFFFFFAC720000
04E01DA0	502048	0007A920	hik00.apv	0900000028000000FFFFFFFFB0350000
04E7C6C0	503168	0007AD80	hik01.apv	0900000028000000FFFFFFFFB0350000
04EF7440	491400	00077F88	hik02.apv	0900000028000000FFFFFFFFB0350000
04F6F3E0	421248	00066D80	kte00.apv	0900000028000000FFFFFFFFC83A0000
04FD6160	421248	00066D80	kte01.apv	0900000028000000FFFFFFFFC83A0000
0503CEE0	449160	0006DA88	tng00.apv	0900000028000000FFFFFFFFE80C0000
050AA980	32	20	mam00.apv	07000000FFFFFFFFFFFFFFFFFFFFFFFF
050AA9A0	23184	5A90	lor00.apv	0900000028000000FFFFFFFF78270000
050B0440	32	20	wba00.apv	07000000FFFFFFFFFFFFFFFFFFFFFFFF
050B0460	290928	00047070	zac00.chr	18000000B06D0400606E04002C000000
050F74E0	242088	0003B1A8	zac01.chr	1800000028AF0300D0AF03002A000000
051326A0	216360	00034D28	zac02.chr	18000000A04B0300584C03002E000000
051673E0	269592	00041D18	tin00.chr	18000000C01A0400681B04002A000000
051A9100	271016	000422A8	tin01.chr	1800000018200400C82004002C000000
051EB3C0	245008	0003BD10	tin02.chr	18000000C8BA030078BB03002C000000
052270E0	291500	000472AC	jan00.chr	18000000D86F04008C7004002D000000
0526E3A0	260552	0003F9C8	jan01.chr	1800000038F70300F0F703002E000000
052ADD80	331116	00050D6C	ryu00.chr	18000000780A0500340B05002F000000
052FEB00	327028	0004FD74	ryu01.chr	1800000090FA04004CFB04002F000000
0534E880	227072	00037700	ryu02.chr	18000000907403005075030030000000
05385F80	293848	00047BD8	kas00.chr	18000000607804004079040038000000
053CDB60	312004	0004C2C4	kas01.chr	1800000098BF040084C004003B000000
05419E40	312416	0004C460	kas02.chr	1800000028C1040008C2040038000000
054662A0	325564	0004F7BC	kas03.chr	18000000C8F4040094F5040033000000
054B5A60	287304	00046248	kas04.chr	18000000986004005861040030000000
054FBCC0	228992	00037E80	gen00.chr	18000000487B0300187C030034000000
05533B40	201192	000311E8	gen01.chr	18000000600F03002810030032000000
05564D40	227828	000379F4	bay00.chr	18000000687703001C7803002D000000
0559C740	231760	00038950	bay01.chr	1800000090860300408703002C000000
055D50A0	261920	0003FF20	bas00.chr	1800000028FC0300E0FC03002E000000
05614FC0	306156	0004ABEC	bas01.chr	18000000F8A80400B4A904002F000000
0565FBC0	276360	00043788	lei00.chr	18000000D8340400A835040034000000
056A3360	293620	00047AF4	lei01.chr	18000000587804004C7904003D000000
056EAE60	283940	00045524	lei02.chr	18000000F0520400AC5304002F000000
057303A0	282480	00044F70	aya00.chr	18000000904C0400504D040030000000
05775320	301304	000498F8	aya01.chr	18000000409604000097040030000000
057BEC20	299128	00049078	aya02.chr	18000000388D0400F88D040030000000
05807CA0	332296	00051208	hik00.chr	18000000500F05001810050032000000
05858EC0	335832	00051FD8	hik01.chr	18000000001D0500C81D050032000000
058AAEA0	339328	00052D80	hik02.chr	18000000F02A0500C02B050034000000
058FDC20	276952	000439D8	kte00.chr	1800000038370400E83704002C000000
05941600	273416	00042C08	kte01.chr	1800000048290400F82904002C000000
05984220	288692	000467B4	tng00.chr	18000000886404006465040037000000
059CA9E0	265236	00040C14	mam00.chr	18000000E0090400940A04002D000000
05A0B600	250956	0003D44C	lor00.chr	1800000038D20300ECD203002D000000
05A48A60	407496	000637C8	wba00.chr	1800000058350600D03506001E000000
05AAC240	12364	304C	zac00.sup	34000000840400000C110000B0150000
05AAF2A0	11868	2E5C	zac01.sup	340000008C04000024110000CC140000
05AB2100	11024	2B10	zac02.sup	34000000A805000070120000B8140000
05AB4C20	8276	2054	tin00.sup	2C000000E00400000C0E0000F8100000
05AB6C80	10272	2820	tin01.sup	3400000018050000600E000030110000
05AB94A0	7244	1C4C	tin02.sup	34000000E80400009C080000080A0000
05ABB100	9496	2518	jan00.sup	2C000000A80400007010000080130000
05ABD620	10820	2A44	jan01.sup	34000000A80400001C100000B8120000
05AC0080	6996	1B54	ryu00.sup	20000000A40B0000640E00007C100000
05AC1BE0	7444	1D14	ryu01.sup	200000004C0D00001810000030120000
05AC3900	8144	1FD0	ryu02.sup	28000000C00A0000D80C000064100000
05AC58E0	6864	1AD0	kas00.sup	2C00000048040000400A0000340C0000
05AC73C0	7156	1BF4	kas01.sup	2C000000A0050000640B0000580D0000
05AC8FC0	7396	1CE4	kas02.sup	2C000000D4030000D8070000C80B0000
05ACACC0	6720	1A40	kas03.sup	2C0000006C040000500900003C0B0000
05ACC700	14036	36D4	kas04.sup	3C000000AC0A000014180000541A0000
05ACFDE0	5524	1594	gen00.sup	2000000064090000500B0000BC0D0000
05AD1380	9884	269C	gen01.sup	34000000780500000C0D0000340F0000
05AD3A20	8140	1FCC	bay00.sup	34000000D00300004C070000EC090000
05AD5A00	7936	1F00	bay01.sup	34000000D003000010070000BC090000
05AD7900	10536	2928	bas00.sup	340000006404000040100000E0120000
05ADA240	8004	1F44	bas01.sup	30000000BC050000040800001C0B0000
05ADC1A0	11192	2BB8	lei00.sup	2C000000D8060000E81A0000541C0000
05ADED60	7800	1E78	lei01.sup	2C0000009C060000500A0000740D0000
05AE0BE0	8964	2304	lei02.sup	2C000000AC0900008C100000A8120000
05AE2F00	9356	248C	aya00.sup	2C000000A0030000AC0A000010110000
05AE53A0	8072	1F88	aya01.sup	2C00000018050000880B0000F40E0000
05AE7340	8196	2004	aya02.sup	2C00000014040000EC0E0000E4100000
05AE9360	8644	21C4	hik00.sup	3400000030040000DC080000C80B0000
05AEB540	8940	22EC	hik01.sup	3400000030040000940B0000800E0000
05AED840	13512	34C8	hik02.sup	3400000024060000240B000098110000
05AF0D20	8644	21C4	kte00.sup	34000000B4040000B40B0000940D0000
05AF2F00	8400	20D0	kte01.sup	34000000AC040000C80B00007C0D0000
05AF4FE0	8680	21E8	tng00.sup	3C0000007C020000B8050000F4070000
05AF71E0	11940	2EA4	mam00.sup	34000000940600002C0C0000A0120000
05AFA0A0	10500	2904	lor00.sup	3400000098050000DC0800004C0F0000
05AFC9C0	8040	1F68	wba00.sup	34000000B4030000A0070000940A0000
05AFE940	696748	000AA1AC	stage00.chr	18000000109A0A005C9D0A00D3000000
05BA8B00	459404	0007028C	stage02.chr	18000000D0FA060034FD060099000000
05C18DA0	857196	000D146C	stage03.chr	1800000098090D006C0D0D00F5000000
05CEA220	167300	00028D84	stage04.chr	1800000090870200C48802004D000000
05D12FC0	936264	000E4948	stage05.chr	18000000D0400E0050440E00E0000000
05DF7920	51796	CA54	stage06.chr	1800000028CA00003CCA000005000000
05E04380	815464	000C7168	stage09.chr	1800000028670C00C06A0C00E6000000
05ECB500	798124	000C2DAC	stage10.chr	1800000048270C00DC290C00A5000000
05F8E2C0	990856	000F1E88	stage11.chr	1800000040180F00681A0F008A000000
06080160	1023508	000F9E14	stage12.chr	18000000989A0F00F49B0F0057000000
06179F80	955860	000E95D4	stage13.chr	18000000E0910E0014940E008D000000
06263560	898816	000DB700	stage14.chr	1800000010B30D0050B40D0050000000
0633EC60	921572	000E0FE4	stage15.chr	18000000A8070E00EC0A0E00D1000000
0641FC60	670036	000A3954	stage16.chr	18000000A0330A00AC350A0083000000
064C35C0	619436	000973AC	stage17.chr	1800000038710900BC71090021000000
0655A980	743072	000B56A0	stage18.chr	1800000048500B0028520B0078000000
06610020	916284	000DFB3C	stage20.chr	1800000088ED0D0064F10D00F7000000
066EFB60	858252	000D188C	stage21.chr	1800000050100D003C130D00BB000000
067C1400	355568	00056CF0	stage22.chr	1800000068690500406A050036000000
06818100	673952	000A48A0	stage23.chr	1800000030460A0028480A007E000000
068BC9A0	641376	0009C960	stage24.chr	1800000000C30900D0C4090074000000
06959300	535624	00082C48	stage27.chr	18000000402808009029080054000000
069DBF60	246640	0003C370	stage29.chr	1800000078C1030038C2030030000000
06A182E0	1482080	00169D60	stage00.bin	00000000000000000000000000000000
06B82040	831488	000CB000	stage02.bin	11FC11FC11FC11FC11FC11FC11FC11FC
06C4D040	1408576	00157E40	stage03.bin	00000000000000002202220222022202
06DA4E80	720800	000AFFA0	stage04.bin	00000000000000000000000800000000
06E54E20	1401120	00156120	stage05.bin	C5492231000840080000032103314752
06FAAF40	256	0100	stage06.bin	00E000F000E000F000E000E000F000F0
06FAB040	1092608	0010AC00	stage09.bin	20000000000000000000200000004108
070B5C40	692384	000A90A0	stage10.bin	00000000000000000000000800000000
0715ECE0	504096	0007B120	stage11.bin	00000000000000000000200000002000
071D9E00	561568	000891A0	stage12.bin	00004529452145216629662945214521
07262FA0	518464	0007E940	stage13.bin	0000200800002008A0182008C1202008
072E18E0	582656	0008E400	stage14.bin	00000000000000000000000000000000
0736FCE0	1370528	0014E9A0	stage15.bin	4D014D016D014D014D014D014D014D01
074BE680	819104	000C7FA0	stage16.bin	2A322A322A322A326B3A4A326B3A4A32
07586620	944000	000E6780	stage17.bin	00000000000000000000200000002000
0766CDA0	1462208	00164FC0	stage18.bin	0000000000000000CD0BEF1ECD0BBC1A
077D1D60	1552672	0017B120	stage20.bin	41006200C408E410C30846116200A308
0794CE80	1354208	0014A9E0	stage21.bin	A7A2E581A7A2E581A1480028A1480028
07A97860	795680	000C2420	stage22.bin	C100C100000000004000400040006000
07B59C80	474112	00073C00	stage23.bin	00000000000000002000200020002000
07BCD880	1139008	00116140	stage24.bin	8210821082108210A210821082108210
07CE39C0	919424	000E0780	stage27.bin	0000000000000000CD0BEF1ECD0BBC1A
07DC4140	580800	0008DCC0	stage29.bin	96E62FC576E690CD90CD8FCD76DEBDFF
07E51E00	59772	E97C	s00_dat.bin	1000000084E500007CE700007CE90000
07E60780	29912	74D8	s02_dat.bin	100000005874000098740000D8740000
07E67C60	142808	00022DD8	s03_dat.bin	10000000D8280200582B0200D82D0200
07E8AA40	4	04	s04_dat.bin	C027000D
07E8AA60	155024	00025D90	s05_dat.bin	08000000E0EF00001000000098EC0000
07EB0800	4	04	s06_dat.bin	C027000D
07EB0820	95448	000174D8	s09_dat.bin	100000005874000098740000D8740000
07EC7D00	38444	962C	s10_dat.bin	10000000148F00009C9200002C960000
07ED1340	19888	4DB0	s11_dat.bin	10000000F8430000D0480000B04D0000
07ED6100	24408	5F58	s12_dat.bin	10000000D8570000985B0000585F0000
07EDC060	67488	000107A0	s13_dat.bin	1000000098FD000098020100A0070100
07EEC800	502196	0007A9B4	s14_dat.bin	E810B73D0F87563F2A31D8BE8F3FC93D
07F671C0	149384	00024788	s15_dat.bin	10000000E83E02003043020088470200
07F8B960	38808	9798	s16_dat.bin	10000000889300008895000098970000
07F95100	4	04	s17_dat.bin	C027000D
07F95120	42260	A514	s18_dat.bin	10000000C4A00000E4A2000014A50000
07F9F640	85056	00014C40	s20_dat.bin	100000002046010030490100404C0100
07FB4280	15056	3AD0	s21_dat.bin	10000000D8380000D0390000D03A0000
07FB7D60	4	04	s22_dat.bin	C027000D
07FB7D80	4	04	s23_dat.bin	C027000D
07FB7DA0	32444	7EBC	s24_dat.bin	10000000D4780000C47B0000BC7E0000
07FBFC60	19012	4A44	s27_dat.bin	100000009C4600006C480000444A0000
07FC46C0	4	04	s29_dat.bin	C027000D
07FC46E0	1417564	0015A15C	fight_se.bin	4454504B2B0000005CA1150000000000
0811E840	239564	0003A7CC	sy_voice.bin	4454504B01000000CCA7030000000000
08159020	514624	0007DA40	voice_kl.bin	4454504B3600000040DA070000000000
081D6A60	313560	0004C8D8	voice_tn.bin	4454504B30000000D8C8040000000000
08223340	485536	000768A0	voice_lu.bin	4454504B38000000A068070000000000
08299BE0	299584	00049240	voice_kt.bin	4454504B320000004092040000000000
082E2E20	445564	0006CC7C	voice_km.bin	4454504B200000007CCC060000000000
0834FAA0	426024	00068028	voice_ks.bin	4454504B3B0000002880060000000000
083B7AE0	431424	00069540	voice_fa.bin	4454504B240000004095060000000000
08421020	354232	000567B8	voice_hi.bin	4454504B3A000000B867050000000000
084777E0	396316	00060C1C	voice_gy.bin	4454504B260000001C0C060000000000
084D8400	825864	000C9A08	voice_ba.bin	4454504B22000000089A0C0000000000
085A1E20	411008	00064580	voice_le.bin	4454504B3C0000008045060000000000
086063A0	380760	0005CF58	voice_ay.bin	4454504B2700000058CF050000000000
08663300	795684	000C2424	voice_tg.bin	4454504B3900000024240C0000000000
08725740	57216	DF80	aicadrv.bin	420100EA350400EA340400EA330400EA
087336C0	1038364	000FD81C	le_sng.bin	4454504B0B0000001CD80F0000000000
08830EE0	1359264	0014BDA0	gy_sng.bin	4454504B0E000000A0BD140000000000
0897CC80	1260404	00133B74	fa_sng.bin	4454504B0A000000743B130000000000
08AB0800	1471200	001672E0	ba_sng.bin	4454504B05000000E072160000000000
08C17AE0	1420496	0015ACD0	kt_sng.bin	4454504B09000000D0AC150000000000
08D727C0	1427872	0015C9A0	lu_sng.bin	4454504B06000000A0C9150000000000
08ECF160	1502596	0016ED84	km_sng.bin	4454504B1100000084ED160000000000
0903DF00	1439624	0015F788	za_sng.bin	4454504B0700000088F7150000000000
0919D6A0	1408952	00157FB8	tn_sng.bin	4454504B08000000B87F150000000000
092F5660	1305668	0013EC44	ay_sng.bin	4454504B0C00000044EC130000000000
094342C0	1343724	001480EC	hi_sng.bin	4454504B23000000EC80140000000000
0957C3C0	1501548	0016E96C	ks_sng.bin	4454504B0D0000006CE9160000000000
096EAD40	1278028	0013804C	tg_sng.bin	4454504B210000004C80130000000000
09822DA0	1499720	0016E248	opn_sng.bin	4454504B0300000048E2160000000000
09991000	500244	0007A214	kl_clr.bin	4454504B1400000014A2070000000000
09A0B220	972364	000ED64C	le_clr.bin	4454504B160000004CD60E0000000000
09AF8880	1062184	00103528	lu_clr.bin	4454504B220000002835100000000000
09BFBDC0	713096	000AE188	sel_sng.bin	4454504B1200000088E10A0000000000
