catalog,index,address,command,source_name,enum_name
SE,0x41,0209d2c0,0x00A01215,SE_FIGHT,SE_FIGHT
SE,0x42,0209d2e0,0x00A01225,SE_CHALLENG,SE_CHALLENG
SE,0x43,0209d300,0x00A01228,SE_W_KO,SE_W_KO
SE,0x44,0209d320,0x00A01229,SE_GREATEST,SE_GREATEST
SE,0x45,0209d340,0x00A01230,SE_TN_0,SE_TN_0
SE,0x46,0209d360,0x00A01231,SE_TN_1,SE_TN_1
SE,0x47,0209d380,0x00A01235,SE_TN_5,SE_TN_5
SE,0x48,0209d3a0,0x00A01236,SE_TN_6,SE_TN_6
SE,0x49,0209d3c0,0x00A01238,SE_TN_8,SE_TN_8
SE,0x4A,0209d3e0,0x00A01239,SE_TN_9,SE_TN_9
SE,0x4B,0209d400,0x00A0123A,SE_TN_A,SE_TN_A
SE,0x4C,0209d420,0x00A0123B,SE_TN_B,SE_TN_B
SE,0x4D,0209d440,0x00A0123C,SE_TN_C,SE_TN_C
SE,0x4E,0209d460,0x00A0123D,SE_TN_D,SE_TN_D
SE,0x4F,0209d480,0x00A0123E,SE_TN_E,SE_TN_E
SE,0x50,0209d4a0,0x00A01240,SE_LU_11,SE_LU_11
SE,0x51,0209d4c0,0x00A01241,SE_LU_1,SE_LU_1
SE,0x52,0209d4e0,0x00A01244,SE_LU_4,SE_LU_4
SE,0x53,0209d500,0x00A01245,SE_LU_5,SE_LU_5
SE,0x54,0209d520,0x00A01247,SE_LU_7,SE_LU_7
SE,0x55,0209d540,0x00A01248,SE_LU_8,SE_LU_8
SE,0x56,0209d560,0x00A01249,SE_LU_9,SE_LU_9
SE,0x57,0209d580,0x00A0124C,SE_LU_C,SE_LU_C
SE,0x58,0209d5a0,0x00A0124D,SE_LU_D,SE_LU_D
SE,0x59,0209d5c0,0x00A0124F,SE_LU_F,SE_LU_F
SE,0x5A,0209d5e0,0x00A01250,SE_KM_0,SE_KM_0
SE,0x5B,0209d600,0x00A01251,SE_KM_1,SE_KM_1
SE,0x5C,0209d620,0x00A01252,SE_KM_2,SE_KM_2
SE,0x5D,0209d640,0x00A01253,SE_KM_3,SE_KM_3
SE,0x5E,0209d660,0x00A01254,SE_KM_4,SE_KM_4
SE,0x5F,0209d680,0x00A01255,SE_KM_5,SE_KM_5
SE,0x60,0209d6a0,0x00A01256,SE_KM_6,SE_KM_6
SE,0x61,0209d6c0,0x00A01257,SE_KM_7,SE_KM_7
SE,0x62,0209d6e0,0x00A01258,SE_KM_8,SE_KM_8
SE,0x63,0209d700,0x00A01259,SE_KM_9,SE_KM_9
SE,0x64,0209d720,0x00A01300,SE_KS_0,SE_KS_0
SE,0x65,0209d740,0x00A01301,SE_KS_1,SE_KS_1
SE,0x66,0209d760,0x00A01303,SE_KS_3,SE_KS_3
SE,0x67,0209d780,0x00A01304,SE_KS_4,SE_KS_4
SE,0x68,0209d7a0,0x00A01305,SE_KS_5,SE_KS_5
SE,0x69,0209d7c0,0x00A01306,SE_KS_6,SE_KS_6
SE,0x6A,0209d7e0,0x00A01307,SE_KS_7,SE_KS_7
SE,0x6B,0209d800,0x00A01308,SE_KS_8,SE_KS_8
SE,0x6C,0209d820,0x00A0130C,SE_KS_C,SE_KS_C
SE,0x6D,0209d840,0x00A0130F,SE_KS_F,SE_KS_F
SE,0x6E,0209d860,0x00A01310,SE_GY_0,SE_GY_0
SE,0x6F,0209d880,0x00A01311,SE_GY_1,SE_GY_1
SE,0x70,0209d8a0,0x00A01312,SE_GY_2,SE_GY_2
SE,0x71,0209d8c0,0x00A01313,SE_GY_3,SE_GY_3
SE,0x72,0209d8e0,0x00A01314,SE_GY_4,SE_GY_4
SE,0x73,0209d900,0x00A01315,SE_GY_5,SE_GY_5
SE,0x74,0209d920,0x00A01319,SE_GY_9,SE_GY_9
SE,0x75,0209d940,0x00A0131A,SE_GY_A,SE_GY_A
SE,0x76,0209d960,0x00A0131D,SE_GY_D,SE_GY_D
SE,0x77,0209d980,0x00A0131E,SE_GY_E,SE_GY_E
SE,0x78,0209d9a0,0x00A01320,SE_LE_0,SE_LE_0
SE,0x79,0209d9c0,0x00A01321,SE_LE_1,SE_LE_1
SE,0x7A,0209d9e0,0x00A01322,SE_LE_2,SE_LE_2
SE,0x7B,0209da00,0x00A01323,SE_LE_3,SE_LE_3
SE,0x7C,0209da20,0x00A01324,SE_LE_4,SE_LE_4
SE,0x7D,0209da40,0x00A01325,SE_LE_5,SE_LE_5
SE,0x7E,0209da60,0x00A01326,SE_LE_6,SE_LE_6
SE,0x7F,0209da80,0x00A01327,SE_LE_7,SE_LE_7
SE,0x80,0209daa0,0x00A01328,SE_LE_8,SE_LE_8
SE,0x81,0209dac0,0x00A01329,SE_LE_9,SE_LE_9
SE,0x82,0209dae0,0x00A0132A,SE_LE_A,SE_LE_A
SE,0x83,0209db00,0x00A0132D,SE_LE_D,SE_LE_D
SE,0x84,0209db20,0x00A01330,SE_KL_0,SE_KL_0
SE,0x85,0209db40,0x00A01332,SE_KL_2,SE_KL_2
SE,0x86,0209db60,0x00A01333,SE_KL_3,SE_KL_3
SE,0x87,0209db80,0x00A01334,SE_KL_4,SE_KL_4
SE,0x88,0209dba0,0x00A01335,SE_KL_5,SE_KL_5
SE,0x89,0209dbc0,0x00A01336,SE_KL_6,SE_KL_6
SE,0x8A,0209dbe0,0x00A01337,SE_KL_7,SE_KL_7
SE,0x8B,0209dc00,0x00A01338,SE_KL_8,SE_KL_8
SE,0x8C,0209dc20,0x00A01340,SE_FA_0,SE_FA_0
SE,0x8D,0209dc40,0x00A01342,SE_FA_2,SE_FA_2
SE,0x8E,0209dc60,0x00A01343,SE_FA_3,SE_FA_3
SE,0x8F,0209dc80,0x00A01344,SE_FA_4,SE_FA_4
SE,0x90,0209dca0,0x00A01346,SE_FA_6,SE_FA_6
SE,0x91,0209dcc0,0x00A0134A,SE_FA_A,SE_FA_A
SE,0x92,0209dce0,0x00A0134F,SE_RD_8,SE_RD_8
SE,0x93,0209dd00,0x00A01350,SE_LU_10,SE_LU_10
SE,0x94,0209dd20,0x00A01351,SE_RD_1,SE_RD_1
SE,0x95,0209dd40,0x00A01352,SE_RD_2,SE_RD_2
SE,0x96,0209dd60,0x00A01353,SE_LU_13,SE_LU_13
SE,0x97,0209dd80,0x00A01354,SE_RD_4,SE_RD_4
SE,0x98,0209dda0,0x00A01355,SE_RD_5,SE_RD_5
SE,0x99,0209ddc0,0x00A01356,SE_LE_10,SE_LE_10
SE,0x9A,0209dde0,0x00A01357,SE_RD_7,SE_RD_7
SE,0x9B,0209de00,0x00A01358,SE_LE_12,SE_LE_12
SE,0x9C,0209de20,0x00A01359,SE_RD_9,SE_RD_9
SE,0x9D,0209de40,0x00A0135A,SE_RD_A,SE_RD_A
SE,0x9E,0209de60,0x00A0135B,SE_RD_B,SE_RD_B
SE,0x9F,0209de80,0x00A0135C,SE_RD_C,SE_RD_C
SE,0xA0,0209dea0,0x00A0135D,SE_RD_D,SE_RD_D
SE,0xA1,0209dec0,0x00A0135E,SE_RD_E,SE_RD_E
SE,0xA2,0209dee0,0x00A0135F,SE_RD_F,SE_RD_F
SE,0xA3,0209df00,0x00A01360,SE_RD_0,SE_RD_0
SE,0xA4,0209df20,0x00A01361,SE_RD_3,SE_RD_3
SE,0xA5,0209df40,0x00A01362,SE_RD_6,SE_RD_6
SE,0xA6,0209df60,0x00A01402,SE_FA_WIN_3_C,SE_FA_WIN_3_C
SE,0xA7,0209df80,0x00A01403,SE_FA_WIN_4_A,SE_FA_WIN_4_A
SE,0xA8,0209dfa0,0x00A01404,SE_FA_WIN_4_B,SE_FA_WIN_4_B
SE,0xA9,0209dfc0,0x00A01405,SE_FA_WIN_9,SE_FA_WIN_9
SE,0xAA,0209dfe0,0x00A01406,SE_GY_WIN_11,SE_GY_WIN_11
SE,0xAB,0209e000,0x00A01408,SE_GY_WIN_3,SE_GY_WIN_3
SE,0xAC,0209e020,0x00A01409,SE_GY_WIN_8_A,SE_GY_WIN_8_A
SE,0xAD,0209e040,0x00A0140B,SE_KM_WIN_6,SE_KM_WIN_6
SE,0xAE,0209e060,0x00A0140C,SE_KS_WIN_5,SE_KS_WIN_5
SE,0xAF,0209e080,0x00A0140E,SE_LE_WIN_4,SE_LE_WIN_4
SE,0xB0,0209e0a0,0x00A0140F,SE_LU_WIN_1,SE_LU_WIN_1
SE,0xB1,0209e0c0,0x00A01411,SE_LU_WIN_8,SE_LU_WIN_8
SE,0xB2,0209e0e0,0x00A01412,SE_TN_WIN_1,SE_TN_WIN_1
SE,0xB3,0209e100,0x00A01413,SE_TN_WIN_12,SE_TN_WIN_12
SE,0xB4,0209e120,0x00A01414,SE_TN_WIN_9_A,SE_TN_WIN_9_A
SE,0xB5,0209e140,0x00A01415,SE_TN_WIN_9_B,SE_TN_WIN_9_B
SE,0xB6,0209e160,0x00A01416,SE_LU_WIN_24,SE_LU_WIN_24
SE,0xB7,0209e180,0x00A01417,SE_KS_WIN_11_A,SE_KS_WIN_11_A
SE,0xB8,0209e1a0,0x00A01418,SE_KS_WIN_11_B,SE_KS_WIN_11_B
SE,0xB9,0209e1c0,0x00A01419,SE_KS_WIN_11_C,SE_KS_WIN_11_C
SE,0xBA,0209e1e0,0x00A0141A,SE_KS_WIN_4_A,SE_KS_WIN_4_A
SE,0xBB,0209e200,0x00A0141B,SE_KS_WIN_4_B,SE_KS_WIN_4_B
SE,0xBC,0209e220,0x00A0141C,SE_LE_WIN_2_A,SE_LE_WIN_2_A
SE,0xBD,0209e240,0x00A0141D,SE_LE_WIN_2_B,SE_LE_WIN_2_B
SE,0xBE,0209e260,0x00A0141E,SE_KM_WIN_1,SE_KM_WIN_1
SE,0xBF,0209e280,0x00A01420,SE_LE_WIN_11_A,SE_LE_WIN_11_A
SE,0xC0,0209e2a0,0x00A01421,SE_LE_WIN_11_B,SE_LE_WIN_11_B
SE,0xC1,0209e2c0,0x00A01422,SE_FA_WIN_11_A,SE_FA_WIN_11_A
SE,0xC2,0209e2e0,0x00A01423,SE_FA_WIN_11_B,SE_FA_WIN_11_B
SE,0xC3,0209e300,0x00A01426,SE_GY_WIN_5,SE_GY_WIN_5
SE,0xC4,0209e320,0x00A01428,SE_LU_WIN_5,SE_LU_WIN_5
SE,0xC5,0209e340,0x00A0142A,SE_KS_WIN_10,SE_KS_WIN_10
SE,0xC6,0209e360,0x00A0142B,SE_KS_WIN_2_A,SE_KS_WIN_2_A
SE,0xC7,0209e380,0x00A0142C,SE_KS_WIN_2_B,SE_KS_WIN_2_B
SE,0xC8,0209e3a0,0x00A0142D,SE_KS_WIN_7_A,SE_KS_WIN_7_A
SE,0xC9,0209e3c0,0x00A0142E,SE_KS_WIN_7_B,SE_KS_WIN_7_B
SE,0xCA,0209e3e0,0x00A0142F,SE_KS_WIN_9_A,SE_KS_WIN_9_A
SE,0xCB,0209e400,0x00A01430,SE_KS_WIN_9_B,SE_KS_WIN_9_B
SE,0xCC,0209e420,0x00A01431,SE_KL_WIN_2,SE_KL_WIN_2
SE,0xCD,0209e440,0x00A01432,SE_KL_WIN_9,SE_KL_WIN_9
SE,0xCE,0209e460,0x00A01433,SE_KL_WIN_10,SE_KL_WIN_10
SE,0xCF,0209e480,0x00A01434,SE_KL_WIN_11,SE_KL_WIN_11
SE,0xD0,0209e4a0,0x00A01435,SE_TN_WIN_3_A,SE_TN_WIN_3_A
SE,0xD1,0209e4c0,0x00A01436,SE_TN_WIN_3_B,SE_TN_WIN_3_B
SE,0xD2,0209e4e0,0x00A01437,SE_TN_WIN_10,SE_TN_WIN_10
SE,0xD3,0209e500,0x00A01438,SE_RD_WIN_2_A,SE_RD_WIN_2_A
SE,0xD4,0209e520,0x00A01439,SE_RD_WIN_2_B,SE_RD_WIN_2_B
SE,0xD5,0209e540,0x00A0143A,SE_RD_WIN_6_A,SE_RD_WIN_6_A
SE,0xD6,0209e560,0x00A0143B,SE_RD_WIN_6_B,SE_RD_WIN_6_B
SE,0xD7,0209e580,0x00A0143C,SE_RD_WIN_7,SE_RD_WIN_7
SE,0xD8,0209e5a0,0x00A0143D,SE_RD_WIN_9,SE_RD_WIN_9
SE,0xD9,0209e5c0,0x00A0143E,SE_RD_WIN_11_A,SE_RD_WIN_11_A
SE,0xDA,0209e5e0,0x00A0143F,SE_RD_WIN_11_B,SE_RD_WIN_11_B
SE,0xDB,0209e600,0x00A01440,SE_KM_WIN_14,SE_KM_WIN_14
SE,0xDC,0209e620,0x00A01441,SE_KM_WIN_13,SE_KM_WIN_13
SE,0xDD,0209e640,0x00A01442,SE_KM_WIN_12,SE_KM_WIN_12
SE,0xDE,0209e660,0x00A01443,SE_KM_WIN_10,SE_KM_WIN_10
SE,0xDF,0209e680,0x00A01444,SE_TN_WIN_2_A,SE_TN_WIN_2_A
SE,0xE0,0209e6a0,0x00A01445,SE_TN_WIN_2_B,SE_TN_WIN_2_B
SE,0xE1,0209e6c0,0x00A01446,SE_TN_WIN_11,SE_TN_WIN_11
SE,0xE2,0209e6e0,0x00A01447,SE_TN_WIN_13,SE_TN_WIN_13
SE,0xE3,0209e700,0x00A01448,SE_KS_WIN_1_A,SE_KS_WIN_1_A
SE,0xE4,0209e720,0x00A01449,SE_KS_WIN_1_B,SE_KS_WIN_1_B
SE,0xE5,0209e740,0x00A0144A,SE_KS_WIN_12,SE_KS_WIN_12
SE,0xE6,0209e760,0x00A0144B,SE_KL_WIN_5,SE_KL_WIN_5
SE,0xE7,0209e780,0x00A0144C,SE_TN_WIN_6,SE_TN_WIN_6
SE,0xE8,0209e7a0,0x00A0144D,SE_TN_WIN_7,SE_TN_WIN_7
SE,0xE9,0209e7c0,0x00A0144E,SE_KL_WIN_1,SE_KL_WIN_1
SE,0xEA,0209e7e0,0x00A0144F,SE_KL_WIN_3_A,SE_KL_WIN_3_A
SE,0xEB,0209e800,0x00A01450,SE_KL_WIN_3_B,SE_KL_WIN_3_B
SE,0xEC,0209e820,0x00A01451,SE_KL_WIN_12_A,SE_KL_WIN_12_A
SE,0xED,0209e840,0x00A01452,SE_KL_WIN_12_B,SE_KL_WIN_12_B
SE,0xEE,0209e860,0x00A01453,SE_KS_WIN_3_A,SE_KS_WIN_3_A
SE,0xEF,0209e880,0x00A01454,SE_KS_WIN_3_B,SE_KS_WIN_3_B
SE,0xF0,0209e8a0,0x00A01455,SE_KS_WIN_8_A,SE_KS_WIN_8_A
SE,0xF1,0209e8c0,0x00A01456,SE_KS_WIN_8_B,SE_KS_WIN_8_B
SE,0xF2,0209e8e0,0x00A01457,SE_LU_WIN_10_A,SE_LU_WIN_10_A
SE,0xF3,0209e900,0x00A01458,SE_LU_WIN_10_B,SE_LU_WIN_10_B
SE,0xF4,0209e920,0x00A01459,SE_RD_WIN_3,SE_RD_WIN_3
SE,0xF5,0209e940,0x00A0145A,SE_RD_WIN_10,SE_RD_WIN_10
SE,0xF6,0209e960,0x00A0145B,SE_RD_WIN_12,SE_RD_WIN_12
SE,0xF7,0209e980,0x00A0145C,SE_KM_WIN_3_A,SE_KM_WIN_3_A
SE,0xF8,0209e9a0,0x00A0145D,SE_KM_WIN_3_B,SE_KM_WIN_3_B
SE,0xF9,0209e9c0,0x00A0145E,SE_KM_WIN_4_A,SE_KM_WIN_4_A
SE,0xFA,0209e9e0,0x00A0145F,SE_KM_WIN_4_B,SE_KM_WIN_4_B
SE,0xFB,0209ea00,0x00A01460,SE_FA_A_S,SE_FA_A_S
SE,0xFC,0209ea20,0x00A01461,SE_GY_4_S,SE_GY_4_S
SE,0xFD,0209ea40,0x00A01462,SE_LE_0_S,SE_LE_0_S
SE,0xFE,0209ea60,0x00A01463,SE_LE_2_S,SE_LE_2_S
SE,0xFF,0209ea80,0x00A01464,SE_TN_6_S,SE_TN_6_S
SE,0x100,0209eaa0,0x00A01465,SE_TN_9_S,SE_TN_9_S
SE,0x101,0209eac0,0x00A01466,SE_LU_10_S,SE_LU_10_S
SE,0x102,0209eae0,0x00A01500,SE_FA_LOSE,SE_FA_LOSE
SE,0x103,0209eb00,0x00A01501,SE_GY_LOSE,SE_GY_LOSE
SE,0x104,0209eb20,0x00A01502,SE_KL_LOSE,SE_KL_LOSE
SE,0x105,0209eb40,0x00A01503,SE_KM_LOSE,SE_KM_LOSE
SE,0x106,0209eb60,0x00A01504,SE_KS_LOSE,SE_KS_LOSE
SE,0x107,0209eb80,0x00A01505,SE_LE_LOSE,SE_LE_LOSE
SE,0x108,0209eba0,0x00A01506,SE_LU_LOSE,SE_LU_LOSE
SE,0x109,0209ebc0,0x00A01507,SE_RD_LOSE,SE_RD_LOSE
SE,0x10A,0209ebe0,0x00A01508,SE_TN_LOSE,SE_TN_LOSE
SE,0x10B,0209ec00,0x00A01509,SE_KM_LOSE_2,SE_KM_LOSE_2
SE,0x10C,0209ec20,0x00A0150A,SE_LE_LOSE_2,SE_LE_LOSE_2
SE,0x10D,0209ec40,0x00A01511,SE_HI_MI_TSU,SE_HI_MI_TSU
SE,0x10E,0209ec60,0x00A01600,SE_CANCEL_1P,SE_CANCEL_1P
SE,0x10F,0209ec80,0x00A01601,SE_CANCEL_2P,SE_CANCEL_2P
SE,0x110,0209eca0,0x00A01602,SE_CANCEL_SERI,SE_CANCEL_SERI
SE,0x111,0209ecc0,0x00A01603,SE_CANCEL_SYS,SE_CANCEL_SYS
