Name,Location,Type,Namespace,Source,Reference Count,Offcut Ref Count
caseD_15,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_16,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_18,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_1b,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_1c,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_1d,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_1e,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_1f,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_20,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_4,8c0139e0,Instruction Label,switchD_8c013924,Analysis,3,0
caseD_8,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_9,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_e,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
FUN_8c013b74,8c013b74,Function,Global,Default,87,0
FUN_8c013c98,8c013c98,Function,Global,Default,12,0
FUN_8c013ca8,8c013ca8,Function,Global,Default,2,0
FUN_8c013cb6,8c013cb6,Function,Global,Default,0,0
FUN_8c013d3a,8c013d3a,Function,Global,Default,0,0
FUN_8c013d98,8c013d98,Function,Global,Default,0,0
FUN_8c013dea,8c013dea,Function,Global,Default,1,0
FUN_8c013ea6,8c013ea6,Function,Global,Default,53,0
FUN_8c013f5c,8c013f5c,Function,Global,Default,10,0
FUN_8c01402c,8c01402c,Function,Global,Default,0,0
FUN_8c014044,8c014044,Function,Global,Default,2,0
FUN_8c014056,8c014056,Function,Global,Default,159,0
FUN_8c0140c0,8c0140c0,Function,Global,Default,21,0
FUN_8c014204,8c014204,Function,Global,Default,4,0
FUN_8c014354,8c014354,Function,Global,Default,2,0
FUN_8c014610,8c014610,Function,Global,Default,35,0
switchD,8c01462e,Instruction Label,switchD_8c01462e,Analysis,0,0
switchdataD_8c014638,8c014638,Data Label,switchD_8c01462e,Analysis,2,0
caseD_0,8c014686,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1,8c01469c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_2,8c0146b4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_3,8c0146cc,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_4,8c0146e4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_5,8c0146fc,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_6,8c014714,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_7,8c01472c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_8,8c014744,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_9,8c01475c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_a,8c014774,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_b,8c01478c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_c,8c0147a4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_d,8c0147bc,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_e,8c0147d4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_f,8c0147ec,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_10,8c014804,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_11,8c01481c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_12,8c014834,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_13,8c01484c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_14,8c014864,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_15,8c01487c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_16,8c014894,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_17,8c0148ac,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_18,8c0148c4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_19,8c0148dc,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_24,8c0148f4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1a,8c01490c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1b,8c014924,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1c,8c014938,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1d,8c01494c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1e,8c014960,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_25,8c014974,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_26,8c014988,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_1f,8c01499c,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_20,8c0149b0,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_21,8c0149c4,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_22,8c0149d8,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_23,8c0149ec,Instruction Label,switchD_8c01462e,Analysis,1,0
caseD_27,8c0149fe,Instruction Label,switchD_8c01462e,Analysis,79,0
FUN_8c014a06,8c014a06,Function,Global,Default,99,0
switchD,8c014a22,Instruction Label,switchD_8c014a22,Analysis,0,0
switchdataD_8c014a30,8c014a30,Data Label,switchD_8c014a22,Analysis,2,0
caseD_0,8c014a7e,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1,8c014a84,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_2,8c014a8a,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_3,8c014a90,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_4,8c014a96,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_5,8c014aa0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_6,8c014aa8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_7,8c014ab0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_8,8c014ab8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_9,8c014ac0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_a,8c014ac8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_b,8c014ad0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_c,8c014ad8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_d,8c014ae0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_e,8c014ae8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_f,8c014af0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_10,8c014af8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_11,8c014b00,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_12,8c014b08,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_13,8c014b10,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_14,8c014b1c,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_15,8c014b24,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_16,8c014b2c,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_17,8c014b34,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_18,8c014b3c,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_19,8c014b44,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1a,8c014b4c,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1b,8c014b98,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1c,8c014ba4,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1d,8c014bb0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1e,8c014bb8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_1f,8c014bc0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_20,8c014bc8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_21,8c014bd0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_22,8c014bd8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_23,8c014be0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_24,8c014be8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_25,8c014bf0,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_26,8c014bf8,Instruction Label,switchD_8c014a22,Analysis,1,0
caseD_27,8c014c00,Instruction Label,switchD_8c014a22,Analysis,15,0
FUN_8c014c08,8c014c08,Function,Global,Default,3,0
FUN_8c014e94,8c014e94,Function,Global,Default,3,0
FUN_8c015222,8c015222,Function,Global,Default,2,0
FUN_8c0152b8,8c0152b8,Function,Global,Default,19,0
FUN_8c01538c,8c01538c,Function,Global,Default,18,0
FUN_8c0153d4,8c0153d4,Function,Global,Default,7,0
FUN_8c015402,8c015402,Function,Global,Default,7,0
FUN_8c01541c,8c01541c,Function,Global,Default,11,0
FUN_8c0154e8,8c0154e8,Function,Global,Default,3,0
switchdataD_8c015540,8c015540,Data Label,switchD_8c015538,Analysis,1,0
caseD_1,8c015582,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_4,8c0155bc,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_6,8c0155da,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_7,8c0155da,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_9,8c0155f8,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_10,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_11,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_12,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_13,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_d,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_e,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_f,8c01565e,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_15,8c015686,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_16,8c0156a8,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_17,8c0156e2,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_18,8c0156fc,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_1f,8c015748,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_21,8c015764,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_14,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_19,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_1a,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_1b,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_1c,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_1d,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_1e,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_2,8c015784,Instruction Label,switchD_8c015538,Analysis,22,0
caseD_20,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_3,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_5,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_8,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_a,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_b,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
caseD_c,8c015784,Instruction Label,switchD_8c015538,Analysis,0,0
FUN_8c0157a4,8c0157a4,Function,Global,Default,4,0
FUN_8c015804,8c015804,Function,Global,Default,2,0
FUN_8c01586c,8c01586c,Function,Global,Default,4,0
FUN_8c015916,8c015916,Function,Global,Default,18,0
FUN_8c01595c,8c01595c,Function,Global,Default,17,0
FUN_8c015d38,8c015d38,Function,Global,Default,0,0
FUN_8c015dd4,8c015dd4,Function,Global,Default,4,0
FUN_8c015e6e,8c015e6e,Function,Global,Default,19,0
FUN_8c015f00,8c015f00,Function,Global,Default,6,0
FUN_8c016168,8c016168,Function,Global,Default,6,0
FUN_8c0162ac,8c0162ac,Function,Global,Default,1,0
FUN_8c016334,8c016334,Function,Global,Default,0,0
FUN_8c01633e,8c01633e,Function,Global,Default,9,0
FUN_8c016394,8c016394,Function,Global,Default,1,0
FUN_8c016580,8c016580,Function,Global,Default,1,0
FUN_8c016690,8c016690,Function,Global,Default,3,0
FUN_8c0169f6,8c0169f6,Function,Global,Default,0,0
FUN_8c016b82,8c016b82,Function,Global,Default,3,0
FUN_8c016c44,8c016c44,Function,Global,Default,1,0
FUN_8c016fe0,8c016fe0,Function,Global,Default,5,0
FUN_8c0170f4,8c0170f4,Function,Global,Default,2,0
FUN_8c01748e,8c01748e,Function,Global,Default,3,0
FUN_8c017592,8c017592,Function,Global,Default,2,0
FUN_8c017878,8c017878,Function,Global,Default,3,0
FUN_8c017d66,8c017d66,Function,Global,Default,6,0
FUN_8c017e00,8c017e00,Function,Global,Default,4,0
FUN_8c0180a8,8c0180a8,Function,Global,Default,2,0
FUN_8c01817c,8c01817c,Function,Global,Default,2,0
FUN_8c01823a,8c01823a,Function,Global,Default,3,0
FUN_8c01828c,8c01828c,Function,Global,Default,13,0
FUN_8c018368,8c018368,Function,Global,Default,7,0
FUN_8c018540,8c018540,Function,Global,Default,4,0
FUN_8c0185a0,8c0185a0,Function,Global,Default,5,0
FUN_8c018738,8c018738,Function,Global,Default,4,0
debug?,8c0188a0,Function,Global,User Defined,1,0
frame_data,8c018b74,Instruction Label,debug?,User Defined,2,0
FRAME_DATA??,8c018bea,Instruction Label,debug?,User Defined,1,0
FUN_8c018dfa,8c018dfa,Function,Global,Default,0,0
switchD,8c018ec6,Instruction Label,switchD_8c018ec6,Analysis,0,0
switchdataD_8c018f00,8c018f00,Data Label,switchD_8c018ec6,Analysis,2,0
caseD_0,8c018f1c,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_1,8c01917c,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_2,8c0191e4,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_3,8c0191fc,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_4,8c019234,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_5,8c0193a0,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_6,8c019430,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_7,8c019498,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_8,8c0194ac,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_9,8c0194c0,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_a,8c019522,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_b,8c019586,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_c,8c0195cc,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_d,8c0195e0,Instruction Label,switchD_8c018ec6,Analysis,1,0
caseD_e,8c0195fa,Instruction Label,switchD_8c018ec6,Analysis,28,0
FUN_8c019610,8c019610,Function,Global,Default,4,0
FUN_8c01985a,8c01985a,Function,Global,Default,1,0
FUN_8c0199c4,8c0199c4,Function,Global,Default,1,0
FUN_8c019f88,8c019f88,Function,Global,Default,2,0
FUN_8c01a066,8c01a066,Function,Global,Default,2,0
FUN_8c01a114,8c01a114,Function,Global,Default,1,0
switchD,8c01a196,Instruction Label,switchD_8c01a196,Analysis,0,0
switchdataD_8c01a1b4,8c01a1b4,Data Label,switchD_8c01a196,Analysis,2,0
caseD_0,8c01a1ce,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_1,8c01a1de,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_2,8c01a1f4,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_3,8c01a21e,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_4,8c01a246,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_5,8c01a310,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_6,8c01a40e,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_7,8c01a45c,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_8,8c01a47a,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_9,8c01a4ac,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_a,8c01a4ca,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_b,8c01a4d8,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_c,8c01a4f4,Instruction Label,switchD_8c01a196,Analysis,1,0
caseD_d,8c01a504,Instruction Label,switchD_8c01a196,Analysis,26,0
FUN_8c01a52a,8c01a52a,Function,Global,Default,1,0
debug_mode,8c01a798,Instruction Label,FUN_8c01a52a,User Defined,1,0
FUN_8c01a8be,8c01a8be,Function,Global,Default,2,0
FUN_8c01a9ec,8c01a9ec,Function,Global,Default,1,0
FUN_8c01ac60,8c01ac60,Function,Global,Default,2,0
ARCADE_BGM_TEST,8c01acce,Instruction Label,FUN_8c01ac60,User Defined,2,0
FUN_8c01aeb8,8c01aeb8,Function,Global,Default,2,0
FUN_8c01b02c,8c01b02c,Function,Global,Default,23,0
FUN_8c01b490,8c01b490,Function,Global,Default,2,0
FUN_8c01b4b6,8c01b4b6,Function,Global,Default,23,0
FUN_8c01b4de,8c01b4de,Function,Global,Default,21,0
FUN_8c01b532,8c01b532,Function,Global,Default,2,0
FUN_8c01b5ee,8c01b5ee,Function,Global,Default,2,0
FUN_8c01b6ba,8c01b6ba,Function,Global,Default,3,0
FUN_8c01b788,8c01b788,Function,Global,Default,3,0
FUN_8c01b7d4,8c01b7d4,Function,Global,Default,2,0
FUN_8c01ba30,8c01ba30,Function,Global,Default,9,0
FUN_8c01bb84,8c01bb84,Function,Global,Default,3,0
FUN_8c01bbcc,8c01bbcc,Function,Global,Default,2,0
FUN_8c01bbd4,8c01bbd4,Function,Global,Default,4,0
FUN_8c01bcc0,8c01bcc0,Function,Global,Default,11,0
FUN_8c01bd5c,8c01bd5c,Function,Global,Default,0,0
FUN_8c01bdbc,8c01bdbc,Function,Global,Default,6,0
FUN_8c01bed4,8c01bed4,Function,Global,Default,6,0
FUN_8c01bfbc,8c01bfbc,Function,Global,Default,7,0
FUN_8c01c0e4,8c01c0e4,Function,Global,Default,16,0
FUN_8c01c200,8c01c200,Function,Global,Default,5,0
FUN_8c01c2a2,8c01c2a2,Function,Global,Default,4,0
characterqueue???_8c01c374,8c01c374,Function,Global,User Defined,17,0
FUN_8c01c618,8c01c618,Function,Global,Default,14,0
FUN_8c01c6b0,8c01c6b0,Function,Global,Default,58,0
FUN_8c01c6ea,8c01c6ea,Function,Global,Default,36,0
FUN_8c01c760,8c01c760,Function,Global,Default,11,0
FUN_8c01c7f6,8c01c7f6,Function,Global,Default,21,0
FUN_8c01c874,8c01c874,Function,Global,Default,43,0
FUN_8c01c8b0,8c01c8b0,Function,Global,Default,10,0
FUN_8c01cb0c,8c01cb0c,Function,Global,Default,31,0
switchD,8c01d0ce,Instruction Label,switchD_8c01d0ce,Analysis,0,0
switchdataD_8c01d0e0,8c01d0e0,Data Label,switchD_8c01d0ce,Analysis,2,0
caseD_0,8c01d0f6,Instruction Label,switchD_8c01d0ce,Analysis,2,0
caseD_1,8c01d1bc,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_2,8c01d1f6,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_3,8c01d230,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_4,8c01d298,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_5,8c01d2fa,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_6,8c01d404,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_7,8c01d43e,Instruction Label,switchD_8c01d0ce,Analysis,1,0
caseD_8,8c01dac2,Instruction Label,switchD_8c01d0ce,Analysis,54,0
FUN_8c01dc00,8c01dc00,Function,Global,Default,2,0
FUN_8c01dd4e,8c01dd4e,Function,Global,Default,4,0
FUN_8c01de02,8c01de02,Function,Global,Default,1,0
FUN_8c01df8a,8c01df8a,Function,Global,Default,5,0
FUN_8c01dffe,8c01dffe,Function,Global,Default,3,0
FUN_8c01e0c0,8c01e0c0,Function,Global,Default,1,0
FUN_8c01e3cc,8c01e3cc,Function,Global,Default,21,0
FUN_8c01e40c,8c01e40c,Function,Global,Default,6,0
FUN_8c01e4fc,8c01e4fc,Function,Global,Default,9,0
FUN_8c01e64c,8c01e64c,Function,Global,Default,2,0
FUN_8c01e7b4,8c01e7b4,Function,Global,Default,1,0
switchD,8c01e7fe,Instruction Label,switchD_8c01e7fe,Analysis,0,0
switchdataD_8c01e810,8c01e810,Data Label,switchD_8c01e7fe,Analysis,2,0
caseD_0,8c01e8fc,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_1,8c01e914,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_2,8c01e920,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_3,8c01e93e,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_4,8c01e944,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_5,8c01e94c,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_6,8c01e96a,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_7,8c01e980,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_9,8c01e9ae,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_8,8c01e9de,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_a,8c01e9f8,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_b,8c01ea14,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_10,8c01ea52,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_11,8c01ea5a,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_12,8c01ea62,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_13,8c01ea6a,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_14,8c01ea72,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_20,8c01ea7a,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_21,8c01ea82,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_22,8c01ea8c,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_23,8c01ea9e,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_24,8c01eaa8,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_25,8c01ead8,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_26,8c01eaf0,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_2b,8c01eafa,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_2c,8c01eb04,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_27,8c01eb1e,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_28,8c01eb28,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_29,8c01eb98,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_2a,8c01eba2,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_30,8c01ebda,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_31,8c01ebe4,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_32,8c01ebee,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_33,8c01ebf8,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_34,8c01ec2c,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_40,8c01ec36,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_41,8c01ec40,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_42,8c01ec64,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_43,8c01ec9c,Instruction Label,switchD_8c01e7fe,Analysis,1,0
caseD_44,8c01ecde,Instruction Label,switchD_8c01e7fe,Analysis,1,0
